,word,proposed_splitting,count_pre,count_post
1619,change,,3,5.0
1620,nokxl,,3,
1621,gab,,1,
1622,surrealart,"['surreal', 'art']",1,
1623,sciart,"['sci', 'art']",1,
1624,research,,22,8.0
1625,actonsolar,,2,
1626,pressrelease,"['press', 'release']",3,
1627,cement,,1,
1628,altfin,"['alt', 'fin']",1,
1629,trumprussiacollusion,,1,
1630,hunger,,6,3.0
1631,edd18,"['ed', 'd', '18']",2,
1632,collaboration,,1,
1633,cmedapadi,,1,
1634,salisburyfest19,,1,
1635,tropicalforests,"['tropical', 'forests']",1,
1636,oceanrise,"['ocean', 'rise']",1,
1637,oyvey,,1,
1638,offshorewind,"['offshore', 'wind']",1,
1639,kanyewest,,1,
1640,parody,,1,
1641,livingplanet,"['living', 'planet']",2,
1642,oilindustry,"['oil', 'industry']",1,
1643,climatechangeelection,"['climate', 'change', 'election']",1,
1644,antartica,,1,
1645,shalegas,"['shale', 'gas']",1,
1646,boschapc,,1,
1647,solutions,,6,
1648,thinkbigsundaywithmarsha,,2,1.0
1649,sciencebasedtargets,"['science', 'based', 'targets']",7,
1650,solyndra,,1,
1651,hurricaneflora,"['hurricane', 'flora']",1,
1652,primaryelection,"['primary', 'election']",1,
1653,infrontoflondon,,1,
1654,sofena,,1,
1655,strawmanfallacy,"['straw', 'man', 'fallacy']",1,
1656,sciencefiction,"['science', 'fiction']",2,
1657,ilovefilm,"['i', 'love', 'film']",1,
1658,c4sproject,"['c', '4', 's', 'project']",1,
1659,whca,,1,
1660,artlover,"['art', 'lover']",2,
1661,rebelforlife,"['rebel', 'for', 'life']",4,
1662,cestakeholdereu,,1,
1663,womensday,,2,
1664,trumpfakescience,"['trump', 'fake', 'science']",1,
1665,pesticides,,3,
1666,adaptive,,1,
1667,facechange,"['face', 'change']",1,
1668,rainfall,,1,
1669,thwaites,,1,
1670,crowdedplanet,"['crowded', 'planet']",1,
1671,heavymonsoon,"['heavy', 'monsoon']",1,
1672,india,,11,20.0
1673,tax,,3,
1674,girl,,1,
1675,poetrywriter,"['poetry', 'writer']",1,
1676,dutch,,1,
1677,gopcomplicit,,1,
1678,worldenviromentday,,1,
1679,buildingproducts,"['building', 'products']",2,
1680,pmlive,"['pm', 'live']",5,
1681,diet,,1,1.0
1682,racingextintion,,1,
1683,epidemic,,1,
1684,ginamccarthy,,1,
1685,urbanrats,"['urban', 'rats']",1,
1686,plastics,,3,2.0
1687,emissions,,35,13.0
1688,flooding,,9,7.0
1689,earthday18,"['earth', 'day', '18']",2,
1690,quotes,,1,
1691,ak,,1,
1692,law,,1,
1693,webinar,,5,1.0
1694,abc730,,2,
1695,fakemeat,"['fake', 'meat']",1,
1696,hittegolf,,1,
1697,bethechangeyouwishtoseeintheworld,"['be', 'the', 'change', 'you', 'wish', 'to', 'see', 'in', 'the', 'world']",1,
1698,independentsday,"['independents', 'day']",3,
1699,ethical,,4,
1700,cryptotrading,,1,
1701,mtnews,"['mt', 'news']",1,
1702,arsenal,,1,
1703,theatre,,1,
1704,warringahvotes,"['warring', 'ah', 'votes']",10,
1705,cad,,1,2.0
1706,running,,1,
1707,datamatters,"['data', 'matters']",1,
1708,silentwarfare,"['silent', 'warfare']",8,
1709,construction,,3,4.0
1710,planetearth,"['planet', 'earth']",1,2.0
1711,published,,1,
1712,abwildfires,"['ab', 'wildfires']",1,
1713,needlessdistraction,"['needless', 'distraction']",1,
1714,emf,,5,1.0
1715,mystery,,1,
1716,cleanworld,"['clean', 'world']",1,
1717,rubiconforest,,7,
1718,youth,,8,5.0
1719,leadonclimate,"['lead', 'on', 'climate']",4,11.0
1720,bluewave2018,"['blue', 'wave', '2018']",7,
1721,cooperation,,1,1.0
1722,cyberattack,,1,
1723,syngenta,"['syn', 'gent', 'a']",1,1.0
1724,investor,,1,
1725,putinpruittsdoppelgänger,,2,
1726,resist,,10,10.0
1727,writing,,1,1.0
1728,sharingbeautywithall,"['sharing', 'beauty', 'with', 'all']",1,
1729,veganic,,1,
1730,cloud,,2,
1731,ladypodsquad,"['lady', 'pod', 'squad']",1,
1732,greataustralianbight,,1,
1733,betterment,,1,
1734,papstfranziskus,,1,
1735,cali,,1,7.0
1736,wsw,,1,
1737,catrisk,"['cat', 'risk']",1,
1738,forglobalchange,"['for', 'global', 'change']",1,
1739,frackfree,"['f', 'rack', 'free']",1,
1740,endcoal,"['end', 'coal']",5,
1741,agroecosystems,,1,
1742,journalismjobs,"['journalism', 'jobs']",1,
1743,climatetalks,"['climate', 'talks']",1,
1744,yqr,"['y', 'qr']",2,
1745,mmiw,,1,
1746,rationing,,1,
1747,voteforclimate,"['vote', 'for', 'climate']",2,
1748,calltoaction,"['call', 'to', 'action']",1,
1749,abolishice,"['abolish', 'ice']",2,
1750,climatesolution,"['climate', 'solution']",3,
1751,phenomenallyvegan,"['phenomenally', 'vegan']",2,
1752,metering,,1,
1753,haveagreatday,"['have', 'a', 'great', 'day']",1,
1754,s,,1,1.0
1755,frs,,1,
1756,ipccreport,,1,
1757,peoplekind,"['people', 'kind']",1,
1758,healthcare,,5,16.0
1759,sustainabilityinaction,"['sustainability', 'in', 'action']",1,
1760,jimhalpert,,1,
1761,norwegian,,1,
1762,orangutans,,1,
1763,esports,"['e', 'sports']",1,
1764,species,,4,
1765,la,,2,1.0
1766,kenney,,1,
1767,renewable,,8,6.0
1768,hibiscus,,1,
1769,galapagosislands,,1,
1770,climatehoax,"['climate', 'hoax']",3,
1771,rural,,1,
1772,resilienceforall,"['resilience', 'for', 'all']",9,5.0
1773,enicbcmed,,2,
1774,ornithology,,3,2.0
1775,fuckhypocrisy,"['fuck', 'hypocrisy']",1,
1776,newyork,,7,
1777,koch,,1,
1778,ethiopia,,5,
1779,justtransitionnz,,4,
1780,insiders,,12,7.0
1781,planetorplastic,"['planet', 'or', 'plastic']",1,
1782,yang,,1,
1783,energiewende,,5,2.0
1784,mission,,4,2.0
1785,seasons,,1,
1786,sorrykids,"['sorry', 'kids']",1,
1787,sciencecommunication,"['science', 'communication']",2,
1788,grandbaymen,"['grand', 'bay', 'men']",1,
1789,urbanisation,,1,
1790,eubiodiversity,,1,
1791,animal,,2,
1792,rat,,1,
1793,noplant19,"['no', 'plant', '19']",1,
1794,pacificislands,"['pacific', 'islands']",1,2.0
1795,poland,,1,
1796,foodrecycling,"['food', 'recycling']",1,
1797,rcncongress2019,,1,
1798,nothirdrunway,"['no', 'third', 'runway']",6,2.0
1799,greenbuilding,"['green', 'building']",7,4.0
1800,savescotus,,3,
1801,idb2019,"['i', 'db', '2019']",2,
1802,electionseuropeennes,,1,
1803,seedfreedom,"['seed', 'freedom']",1,
1804,lineups,,1,
1805,tx,,1,
1806,sunflower,,1,
1807,cutshurtkids,"['cuts', 'hurt', 'kids']",1,
1808,lagos,,1,
1809,禅僧,,3,
1810,russellcrowe,,1,
1811,publication,,1,
1812,geoscience,,1,
1813,nomancamps,"['no', 'man', 'camps']",1,
1814,harnessingideas,"['harnessing', 'ideas']",1,
1815,hvdc,,1,
1816,unfao,,3,
1817,physioshark,,1,
1818,bandiesel,"['ban', 'diesel']",1,
1819,mtc,,2,
1820,cleaner,,2,
1821,mnwx,,1,
1822,cyborg,,1,
1823,democrats,,1,7.0
1824,theenvironment,"['the', 'environment']",1,
1825,carbontaxscam,"['carbon', 'tax', 'scam']",1,
1826,weneedtomakesomechanges,"['we', 'need', 'to', 'make', 'some', 'changes']",1,
1827,scandal,,5,
1828,heracles,,1,
1829,sundaytimes,,1,
1830,iceageeuropenow,,1,
1831,casestudy,"['case', 'study']",1,
1832,atiinspire,"['at', 'i', 'inspire']",1,
1833,shoes,,1,
1834,himalayan,,1,
1835,changingclimate,"['changing', 'climate']",1,
1836,steeldossier,"['steel', 'dossier']",1,
1837,implications,,1,
1838,peatfree,"['peat', 'free']",1,3.0
1839,corals,,3,1.0
1840,ecoscience,,1,
1841,choosecompassion,"['choose', 'compassion']",2,
1842,fertilizers,,1,
1843,plantbased,"['plant', 'based']",5,4.0
1844,stateofclimate,"['state', 'of', 'climate']",14,7.0
1845,epicfail,"['epic', 'fail']",2,
1846,brandstakingstands,"['brands', 'taking', 'stands']",1,
1847,behaviorchange,"['behavior', 'change']",1,
1848,followthemoney,"['follow', 'the', 'money']",3,
1849,kurdistan,,2,
1850,saturdaythoughts,,14,
1851,ujelp19,,1,
1852,australiaawards,,1,
1853,supersaturday,,1,
1854,climatewhatnow,"['climate', 'what', 'now']",3,
1855,alwayswasalwayswillbe,"['always', 'was', 'always', 'will', 'be']",1,
1856,employees,,1,
1857,naturelove,"['nature', 'love']",1,
1858,h2omorrow,"['h', '2', 'o', 'morrow']",1,
1859,bim,,2,6.0
1860,biotech,,1,
1861,fridayforfutures,,1,
1862,physiser,,1,
1863,childadvocacy,"['child', 'advocacy']",1,
1864,glfkyoto2019,,2,
1865,banassaultweapons,"['ban', 'assault', 'weapons']",1,
1866,cropland,,2,
1867,measuringup,"['measuring', 'up']",1,
1868,skpoli,,3,1.0
1869,pollutionfreeenvironmentwithmsg,,1,
1870,strongertogether,"['stronger', 'together']",1,3.0
1871,heathrowexpansion,,6,
1872,betoforpresident,"['be', 'to', 'for', 'president']",5,
1873,adani,,4,17.0
1874,preppers,"['prep', 'per', 's']",1,
1875,activismworks,"['activism', 'works']",2,
1876,tomorrowliveshere,"['tomorrow', 'lives', 'here']",1,
1877,noah,,1,
1878,stophddashuelotriver,,1,
1879,sxsw,,1,
1880,ellesmereport,,1,
1881,voteforchange,"['vote', 'for', 'change']",1,
1882,cryptocurrency,,20,1.0
1883,turkana,,1,
1884,ecomonday,,1,
1885,abortion,,1,
1886,naturalcapital,"['natural', 'capital']",1,
1887,abbott,,1,
1888,indigenousrights,"['indigenous', 'rights']",1,
1889,black,,1,
1890,incorrect,,1,
1891,energyindependence,"['energy', 'independence']",2,
1892,carbonfoodprint,"['carbon', 'food', 'print']",1,
1893,arcticsustainability,"['arctic', 'sustainability']",1,
1894,prop68,"['prop', '68']",1,
1895,trumptrain,"['trump', 'train']",3,5.0
1896,disaster,,5,7.0
1897,thursdaythoughts,,3,8.0
1898,newfoundland,,1,
1899,plantsci,"['plant', 'sci']",1,
1900,publicinterest,"['public', 'interest']",1,
1901,climatechangehoax,"['climate', 'change', 'hoax']",4,
1902,pastoralists,,1,
1903,blackthroatedfinch,,1,
1904,lizards,,1,
1905,schoolstrikes,"['school', 'strikes']",11,
1906,enkinginternational,"['en', 'king', 'international']",3,
1907,wwg1wga,,2,1.0
1908,artistsofinstagram,,2,
1909,worldmigratorybirdday,"['world', 'migratory', 'bird', 'day']",4,
1910,ipbes7,,5,
1911,qldpol,,97,11.0
1912,gentrification,,1,
1913,bats,,1,
1914,caprimary,"['ca', 'primary']",1,
1915,interview,,2,1.0
1916,kanigo,,1,
1917,waleg,"['wale', 'g']",1,
1918,climatekids,"['climate', 'kids']",1,
1919,altcoin,"['alt', 'coin']",4,
1920,placeprinciple,"['place', 'principle']",1,
1921,consumtion,,1,
1922,npt,,1,
1923,varyonico,,2,
1924,driveelectric,"['drive', 'electric']",1,
1925,warmongers,,1,
1926,starbuckssavescoffee,,1,
1927,loirevalley,,1,
1928,hydrogen,,3,
1929,livableincome,"['livable', 'income']",1,
1930,vicfires,,2,
1931,changemakers,"['change', 'makers']",1,
1932,biking,,1,
1933,vietnam,,3,1.0
1934,investment,,2,1.0
1935,windworks,"['wind', 'works']",1,
1936,earthweek,"['earth', 'week']",1,2.0
1937,nuclearfuel,"['nuclear', 'fuel']",2,
1938,racingextinction,"['racing', 'extinction']",1,
1939,electricvehicle,"['electric', 'vehicle']",1,1.0
1940,csaafrica,,1,
1941,savetheplanet,"['save', 'the', 'planet']",12,35.0
1942,europeday,,3,
1943,arcuswebinar,,1,
1944,ausvote19,"['a', 'us', 'vote', '19']",1,
1945,ice2ice,"['ice', '2', 'ice']",2,
1946,inccia,,1,
1947,fracking,"['f', 'racking']",17,9.0
1948,agw,,9,6.0
1949,skyoceanrescue,"['sky', 'ocean', 'rescue']",1,
1950,duffy,,2,
1951,wolbachia,,1,
1952,scotclimate,,1,
1953,tasfires,"['t', 'as', 'fires']",1,
1954,glaciernationalpark,"['glacier', 'national', 'park']",1,
1955,woodland,,2,
1956,pyrolysis,,1,
1957,lumen,,1,
1958,melissaprice,,3,
1959,youcan,"['you', 'can']",1,
1960,showsolidarity,"['show', 'solidarity']",1,
1961,environmentalist,,1,
1962,animated,,1,
1963,beefbelongs,"['beef', 'belongs']",1,
1964,capacities,,1,
1965,population,,5,3.0
1966,climatedatastore,"['climate', 'data', 'store']",3,
1967,theforgottensolution,"['the', 'forgotten', 'solution']",3,
1968,mit,,1,
1969,confluence19,"['confluence', '19']",1,
1970,cryosphere,,1,
1971,elsalvador,,1,
1972,conservative,,1,
1973,wtbeck,"['wt', 'beck']",3,
1974,reckless,,1,
1975,mammal,,1,
1976,redmayseattle,,1,
1977,agnipuran,,1,
1978,kampala4climate,,2,
1979,unpfii18,,1,
1980,rojava,,1,
1981,jhenryfair,,1,
1982,dankmemes,"['dank', 'memes']",1,
1983,ourabc,,1,
1984,startups,"['startup', 's']",5,5.0
1985,15mars,"['15', 'mars']",1,
1986,bms,,1,
1987,deathbythunder,"['death', 'by', 'thunder']",1,
1988,vegano,,1,
1989,electricbus,"['electric', 'bus']",2,
1990,grid,,2,
1991,dragging,,1,
1992,chrisisaak,,1,
1993,ccgas,,1,
1994,mother,,1,
1995,farm,,3,2.0
1996,invertebrates,,1,
1997,wehavefaith,"['we', 'have', 'faith']",1,
1998,polymerfibres,,1,
1999,votethemout,"['vote', 'them', 'out']",5,6.0
2000,employment,,2,
2001,followers,,2,
2002,housingcrisis,"['housing', 'crisis']",1,
2003,raceagainstthetide,"['race', 'against', 'the', 'tide']",1,
2004,shareourplanet,"['share', 'our', 'planet']",1,
2005,savethebees,"['save', 'the', 'bees']",2,1.0
2006,bayer,,1,
2007,plantpower,"['plant', 'power']",1,
2008,bombcyclone,"['bomb', 'cyclone']",1,
2009,poaching,,1,
2010,pices,,1,
2011,frenchincanada,,1,
2012,aviation,,1,2.0
2013,fluminism,"['flu', 'minis', 'm']",1,
2014,ireland,,6,3.0
2015,lakeerie,,1,
2016,nocollusionnoobstruction,"['no', 'collusion', 'no', 'obstruction']",1,
2017,usefulidiot,"['useful', 'idiot']",1,
2018,fairfax,,1,
2019,stark,,1,
2020,misspoli,,1,
2021,awareness,,5,5.0
2022,genderequity,"['gender', 'equity']",1,
2023,explosions,,1,
2024,intlbiodiversityday,,3,
2025,planetaryhealth,"['planetary', 'health']",1,
2026,environmentalcollapse,"['environmental', 'collapse']",1,
2027,nextgen,"['next', 'gen']",1,1.0
2028,mx,,1,
2029,bclng,,1,
2030,virtue,,1,
2031,parrots,,1,
2032,climateadaptation,"['climate', 'adaptation']",2,2.0
2033,growwithus,"['grow', 'with', 'us']",1,
2034,gmg4c,,2,
2035,dkenergi,"['d', 'ken', 'erg', 'i']",1,
2036,climatescientists,"['climate', 'scientists']",1,2.0
2037,mikecavanan,,1,
2038,fossilfree603,"['fossil', 'free', '603']",1,
2039,tropicaforestalliance,,1,
2040,sahm,,1,
2041,cacti,,1,
2042,windmillscausecancer,"['windmills', 'cause', 'cancer']",1,
2043,unfccc,,2,3.0
2044,coaldecline,"['coal', 'decline']",1,
2045,homepod,"['home', 'pod']",1,2.0
2046,beatplasticpolution,,1,
2047,documentary,,1,
2048,laudatosi2018,,2,
2049,floatingisland,"['floating', 'island']",1,
2050,sealevel,"['sea', 'level']",2,3.0
2051,livestockfarming,"['livestock', 'farming']",1,
2052,innovations,,1,
2053,carbonprogram,"['carbon', 'program']",2,
2054,ausvote2019,"['a', 'us', 'vote', '2019']",1,
2055,volcanoes,,3,1.0
2056,sdg2030,,5,
2057,youth2030,"['youth', '2030']",2,
2058,nzpol,,2,8.0
2059,aviicii,"['a', 'vii', 'c', 'ii']",5,
2060,sciencehistory,"['science', 'history']",1,
2061,barwonvotes,,1,
2062,offgrid,"['off', 'grid']",1,1.0
2063,climatedisruption,"['climate', 'disruption']",1,
2064,thinktogether,"['think', 'together']",1,
2065,healthybuilding,"['healthy', 'building']",1,
2066,aerodays2019,,1,
2067,peat,,1,
2068,miamibeach,,2,
2069,mounttrumpmore,"['mount', 'trump', 'more']",1,
2070,thrillers,,1,
2071,weathercycles,"['weather', 'cycles']",1,
2072,letsplantmoretrees,"['lets', 'plant', 'more', 'trees']",1,
2073,barc2018,"['bar', 'c', '2018']",1,
2074,anotherecologicaltragedy,"['another', 'ecological', 'tragedy']",1,
2075,artagram,,2,
2076,iceisblack,"['ice', 'is', 'black']",2,
2077,satellitedata,"['satellite', 'data']",1,
2078,venusenergy,,1,
2079,newyorkcity,,1,
2080,healthemergencies,"['health', 'emergencies']",1,
2081,negotiatingskills,"['negotiating', 'skills']",2,
2082,scienceed,"['science', 'ed']",1,
2083,please,,2,
2084,kidneydisease,"['kidney', 'disease']",2,1.0
2085,ecosystemservices,"['ecosystem', 'services']",2,
2086,whistleblower,"['whistle', 'blower']",2,
2087,narendramodi,,1,
2088,nonsense,,1,
2089,42whc,,3,
2090,populationgrowth,"['population', 'growth']",1,1.0
2091,hele,,1,
2092,trans,,1,
2093,electric,,1,
2094,carfreecities,"['car', 'free', 'cities']",1,
2095,gdn,,1,
2096,middendelfland,,1,
2097,renewableenergies,"['renewable', 'energies']",1,
2098,pintofscience,"['pint', 'of', 'science']",1,
2099,greennewdisaster,"['green', 'new', 'disaster']",1,
2100,methanogenesis,,1,
2101,wateractiondecade,"['water', 'action', 'decade']",1,
2102,goodfriends,"['good', 'friends']",1,
2103,mena,"['men', 'a']",1,
2104,gratitude,,1,1.0
2105,charity,,3,1.0
2106,joe2020,,1,
2107,trumpcorruption,"['trump', 'corruption']",1,1.0
2108,climatemigration,"['climate', 'migration']",2,2.0
2109,environmentalism,,14,2.0
2110,toomanycows,"['too', 'many', 'cows']",2,
2111,indigeneity,,1,
2112,listentothechildren,"['listen', 'to', 'the', 'children']",1,
2113,sb32,,1,
2114,gistemp,"['g', 'is', 'temp']",1,
2115,wethefuture,"['we', 'the', 'future']",1,
2116,theowls,"['the', 'owls']",2,
2117,makesmthng,,1,
2118,peopleneednature,"['people', 'need', 'nature']",1,
2119,bbq,,1,
2120,truorganic,,1,
2121,satire,,1,
2122,thedrum,"['the', 'drum']",32,7.0
2123,coralbleaching,"['coral', 'bleaching']",1,1.0
2124,original,,1,
2125,paper,,2,
2126,growing,,1,
2127,safedrinkingwater,"['safe', 'drinking', 'water']",1,
2128,techtuesday,,1,
2129,scheerhypocrisy,,1,
2130,officer,,1,
2131,thirdrunway,"['third', 'runway']",2,
2132,ifyoucareshare,"['if', 'you', 'care', 'share']",1,
2133,watershedmanagement,"['watershed', 'management']",1,
2134,lake,,1,2.0
2135,conspiracy,,2,
2136,mockingbirdmedia,"['mockingbird', 'media']",1,
2137,heart,,1,
2138,sciencene,,1,
2139,unitedforchange,"['united', 'for', 'change']",2,
2140,forestproud,"['forest', 'proud']",1,
2141,washington,,2,
2142,woods,,2,
2143,watercolorpencils,"['watercolor', 'pencils']",2,
2144,globalstrike4climate,"['global', 'strike', '4', 'climate']",1,
2145,parkchat,"['park', 'chat']",1,
2146,neworleans,,1,
2147,beehivesv,"['beehives', 'v']",1,
2148,nmwater,,2,
2149,nonprofit,,2,
2150,populationreduction,"['population', 'reduction']",1,
2151,gooddothevegankiosk,"['good', 'do', 'the', 'vegan', 'kiosk']",1,
2152,enviroment,,1,
2153,management,,1,
2154,monju,,2,
2155,farmers,,19,4.0
2156,worlddrugday,"['world', 'drug', 'day']",2,
2157,nicchearing,,7,
2158,sheffield,,1,
2159,ratpocalypse,,1,
2160,feewithdividend,"['fee', 'with', 'dividend']",1,
2161,believescience,"['believe', 'science']",2,
2162,brazilian,,1,
2163,nocleancoal,"['no', 'clean', 'coal']",1,
2164,abef2018,,1,
2165,growers,,1,
2166,protecttheinlet,"['protect', 'the', 'inlet']",8,
2167,adrianbridge,,1,
2168,renewablenowtv,,1,
2169,sealevels,"['sea', 'levels']",2,
2170,artisticresearch,"['artistic', 'research']",1,
2171,communicate,,1,
2172,artofchange21,"['art', 'of', 'change', '21']",1,
2173,panelsnotpipelines,"['panels', 'not', 'pipelines']",60,
2174,germany,,9,6.0
2175,knows,,1,
2176,trendingstory,"['trending', 'story']",12,
2177,carbonaction,"['carbon', 'action']",2,
2178,inequalitygap,"['inequality', 'gap']",1,
2179,weakandy,,2,
2180,urbangreen,"['urban', 'green']",1,
2181,climateengineering,"['climate', 'engineering']",3,1.0
2182,bigtobacco,"['big', 'tobacco']",1,
2183,meatlessmonday,,1,2.0
2184,motherfuckers,,2,
2185,abcclimatewatch,,2,
2186,asia,,4,3.0
2187,weatheraware,"['weather', 'aware']",1,
2188,abvote,"['ab', 'vote']",1,
2189,weatherpatterns,"['weather', 'patterns']",1,
2190,dance,,1,1.0
2191,batteries,,1,
2192,desmoines,,1,
2193,championoftheearth,"['champion', 'of', 'the', 'earth']",1,
2194,targets,,1,
2195,article50,"['article', '50']",1,
2196,twitternews,"['twitter', 'news']",2,
2197,prelims,"['prelim', 's']",1,
2198,rebate,,1,
2199,belize,,1,
2200,heatpump,"['heat', 'pump']",1,
2201,hiringnow,"['hiring', 'now']",2,
2202,folowback,,1,
2203,gpconf,,4,
2204,nuclearhistories,"['nuclear', 'histories']",1,
2205,conservationdance,"['conservation', 'dance']",2,
2206,northkorea,,2,1.0
2207,weathermodification,"['weather', 'modification']",3,
2208,chargedup,"['charged', 'up']",2,
2209,parents,,1,
2210,bumblebees,,1,
2211,nationalinsectweek,"['national', 'insect', 'week']",1,
2212,writingprompt,"['writing', 'prompt']",1,
2213,edu2018,,1,
2214,edchat,"['ed', 'chat']",1,
2215,progressive,,1,2.0
2216,riodejaneiro,,1,
2217,skybastard,"['sky', 'bastard']",8,
2218,innovativevolunteerism,"['innovative', 'volunteer', 'is', 'm']",2,5.0
2219,meltingpermafrost,"['melting', 'permafrost']",1,
2220,parisagrmt,,1,
2221,scichatnz,,2,
2222,sundaythoughts,,2,
2223,hackathon,,1,
2224,thefutureisvegan,"['the', 'future', 'is', 'vegan']",1,
2225,nowwatching,"['now', 'watching']",1,
2226,carbonpricing,"['carbon', 'pricing']",2,2.0
2227,newenergynarrative,"['new', 'energy', 'narrative']",1,
2228,moviereview,"['movie', 'review']",1,
2229,circulareconomy,"['circular', 'economy']",12,10.0
2230,oilspill,"['oil', 'spill']",2,
2231,vestedinterest,"['vested', 'interest']",1,
2232,humanconsumption,"['human', 'consumption']",1,
2233,hawaii,,2,
2234,mdb,"['m', 'db']",4,
2235,fossilfree,"['fossil', 'free']",8,2.0
2236,worldheritage,"['world', 'heritage']",3,
2237,arcticmelt,"['arctic', 'melt']",1,
2238,beto,"['be', 'to']",3,
2239,botany,,1,
2240,neonazis,,1,
2241,cofi33,"['c', 'of', 'i', '33']",4,
2242,bullying,,2,1.0
2243,mississaugastreetsville,,1,
2244,programming,,1,
2245,scccalumni,,2,
2246,womensland,,1,
2247,bc,,5,
2248,hurricanemaria,"['hurricane', 'maria']",2,
2249,maryrobinson,,1,
2250,stopfoodwasteday,"['stop', 'food', 'waste', 'day']",2,
2251,coorong,,5,
2252,empower,,2,
2253,may20,"['may', '20']",1,
2254,ecajournal,,1,
2255,radicalweather,"['radical', 'weather']",1,
2256,greenfinance,"['green', 'finance']",3,1.0
2257,elhtp001,,1,
2258,information,,3,
2259,london,,4,13.0
2260,trump,,32,37.0
2261,revolution,,5,3.0
2262,peace,,11,7.0
2263,teslabatterypacks,,1,
2264,solarminimum,"['solar', 'minimum']",1,
2265,resilientmiami,,1,
2266,carbonemitter,"['carbon', 'emitter']",1,
2267,scient,,2,
2268,indigenous,,14,2.0
2269,laws,,1,
2270,worldforestweek,"['world', 'forest', 'week']",1,
2271,genderdiversity,"['gender', 'diversity']",1,
2272,australiadecides,,1,
2273,budgetresponse,"['budget', 'response']",2,
2274,simplyscience,"['simply', 'science']",1,
2275,liberals,,2,5.0
2276,gameofthrones,"['game', 'of', 'thrones']",6,
2277,do,,1,
2278,phon,,3,
2279,chemicals,,1,
2280,climatehysteria,"['climate', 'hysteria']",1,
2281,animalright,"['animal', 'right']",1,
2282,powergeneration,"['power', 'generation']",1,
2283,losers,,1,
2284,fraudsters,,1,
2285,civilservices,"['civil', 'services']",1,
2286,regionalassessments,"['regional', 'assessments']",1,
2287,engineers,,1,
2288,humainbeing,,1,
2289,thanos,,1,
2290,australiadecided,,1,
2291,nogranitebridgepipeline,"['no', 'granite', 'bridge', 'pipeline']",1,
2292,foodsafety,"['food', 'safety']",1,
2293,greenliving,"['green', 'living']",2,
2294,redbubble,"['red', 'bubble']",1,
2295,arcticocean,"['arctic', 'ocean']",1,
2296,urbandecay,"['urban', 'decay']",1,
2297,worldhealth,"['world', 'health']",1,
2298,inittogether,"['in', 'it', 'together']",1,
2299,celdf,,1,
2300,thankyou,,1,
2301,dugongs,,2,
2302,greentaxonomyeu,,1,
2303,kodak200,,1,
2304,sohnidharti,,1,
2305,stormboy,"['storm', 'boy']",5,
2306,utm,,1,
2307,colleges,,1,
2308,roundearth,"['round', 'earth']",2,
2309,volcanos,,1,
2310,stopmotionanimation,"['stop', 'motion', 'animation']",1,
2311,africaclimateweek,,7,
2312,events,,1,
2313,kidlitillustration,"['kid', 'lit', 'illustration']",1,
2314,newnuclearnow,"['new', 'nuclear', 'now']",1,
2315,strongertomorrows,"['stronger', 'tomorrows']",1,
2316,blueeconomy,"['blue', 'economy']",3,
2317,zalisteggall,,3,
2318,nm,,2,
2319,experimental,,1,
2320,cleanenergyhttps,,1,
2321,interbeing,"['inter', 'being']",1,
2322,cook,,1,
2323,walkthetalk,"['walk', 'the', 'talk']",1,
2324,climateresilient,"['climate', 'resilient']",1,
2325,le19,,1,
2326,naturebasedsolutions,"['nature', 'based', 'solutions']",1,4.0
2327,stopglobalwarming,"['stop', 'global', 'warming']",2,
2328,areyouen,"['are', 'you', 'en']",1,
2329,biofuels,,4,
2330,warrior,,1,
2331,colleague,,1,
2332,earthonlocation,"['earth', 'on', 'location']",2,
2333,inspire,,1,
2334,friends,,1,
2335,factoryfarming,"['factory', 'farming']",2,1.0
2336,gridsecurity,"['grid', 'security']",1,
2337,rsgasia,,1,
2338,callforpapers,"['call', 'for', 'papers']",1,
2339,vancouver,,1,2.0
2340,greenpeace,,1,1.0
2341,ffn,"['ff', 'n']",1,
2342,theansweriswater,"['the', 'answer', 'is', 'water']",1,
2343,rewilding,,1,4.0
2344,xr,"['x', 'r']",27,
2345,literary,,1,
2346,outreach,,2,
2347,navarinoenvironmentalobservatory,,2,
2348,movement,,1,
2349,geothermal,,1,2.0
2350,agencyvoices,"['agency', 'voices']",2,
2351,bob,,1,
2352,iwd2019,,12,
2353,gdp,,3,1.0
2354,tellthetruthteco,,2,
2355,trumpmacron,"['trump', 'macron']",1,
2356,napmooc,"['nap', 'moo', 'c']",1,
2357,droughtrelief,"['drought', 'relief']",1,
2358,lentlivingwell,"['lent', 'living', 'well']",1,
2359,ncpol,,1,1.0
2360,essay,,5,
2361,thewaterdigest,"['the', 'water', 'digest']",1,
2362,memorialday2018,"['memorial', 'day', '2018']",1,
2363,manchester,,1,3.0
2364,lobbyist,,1,
2365,naturalresources,"['natural', 'resources']",1,
2366,norwich,,3,
2367,global,,10,4.0
2368,sealhunt,"['seal', 'hunt']",1,
2369,angrygods,"['angry', 'gods']",2,
2370,intersolar,"['inter', 'solar']",1,
2371,carrfire,,1,
2372,milan,,2,1.0
2373,srocc,,1,
2374,vulnerability,,2,2.0
2375,delhipollution,,2,
2376,firefighters,,1,
2377,media,,1,5.0
2378,insects,,1,5.0
2379,bold,,1,
2380,energy,,256,126.0
